dataset,byzantine_fraction,noise_variance,attack_mode,samples_per_node,noisy_train_accuracy,noisy_test_accuracy,noiseless_train_accuracy,noiseless_test_accuracy,median_train_accuracy,median_test_accuracy,krum_train_accuracy,krum_test_accuracy,hyperbolic_train_accuracy,hyperbolic_test_accuracy
spambase,0.4,0.0,ipm_attack,64,89.23913043478261,88.70792616720955,90.43478260869566,89.79370249728555,87.28260869565217,86.10206297502715,45.89673913043478,43.43105320304018,86.49456521739131,87.40499457111835
spambase,0.4,0.0,ipm_attack,128,88.61413043478261,88.05646036916394,90.19021739130434,89.57654723127035,87.39130434782608,85.77633007600434,82.69021739130434,81.86753528773073,87.55434782608695,87.40499457111835
mnist,0.1,0.01,add_noise,16,92.00500000000001,92.04,92.00166666666667,92.05,86.68666666666667,87.42,88.91833333333334,89.9,92.10000000000001,92.2
mnist,0.1,0.1,add_noise,16,92.02333333333334,92.09,91.995,92.03,86.64500000000001,87.35000000000001,88.81666666666666,89.92,92.10333333333334,92.16
mnist,0.1,1.0,add_noise,16,91.68833333333333,91.77,92.00333333333333,92.03,86.63,87.32,88.825,89.9,92.09333333333333,92.17999999999999
mnist,0.1,10.0,add_noise,16,89.29833333333333,89.68,92.0,92.05,86.63499999999999,87.32,88.86166666666668,89.91,92.11333333333333,92.19000000000001
mnist,0.1,100.0,add_noise,16,83.01666666666667,83.74000000000001,92.02,92.05,86.62666666666667,87.36,88.86666666666667,89.85,92.09166666666667,92.15
mnist,0.1,200.0,add_noise,16,80.51333333333334,81.56,92.00166666666667,92.05,86.63166666666666,87.36,88.87,89.9,92.12166666666667,92.23
mnist,0.1,0.01,add_noise,32,91.47166666666666,91.82000000000001,91.48666666666668,91.81,88.28666666666666,88.88000000000001,89.99833333333333,90.66,91.9,92.0
mnist,0.1,0.1,add_noise,32,91.47999999999999,91.71000000000001,91.47833333333332,91.79,88.24833333333333,88.92,89.935,90.75,91.89833333333334,91.99000000000001
mnist,0.1,1.0,add_noise,32,91.16333333333333,91.34,91.48333333333333,91.8,88.24666666666666,88.88000000000001,89.90166666666667,90.61,91.89833333333334,92.0
mnist,0.1,10.0,add_noise,32,89.11,89.45,91.48333333333333,91.82000000000001,88.23333333333333,88.86,89.97833333333334,90.64999999999999,91.88833333333334,92.01
mnist,0.1,100.0,add_noise,32,80.65,81.58999999999999,91.48333333333333,91.79,88.24333333333333,88.85,89.935,90.75,91.89833333333334,92.03
mnist,0.1,200.0,add_noise,32,79.27833333333332,80.2,91.49166666666667,91.83,88.25,88.85,89.92666666666666,90.63,91.89166666666667,91.99000000000001
mnist,0.1,0.01,add_noise,64,90.815,91.24,90.83166666666666,91.27,89.32833333333333,90.08,89.945,90.74,91.42833333333333,91.75999999999999
mnist,0.1,0.1,add_noise,64,90.75833333333333,91.34,90.835,91.28,89.35499999999999,90.11,89.98166666666667,90.74,91.4,91.77
mnist,0.1,1.0,add_noise,64,90.59833333333333,91.0,90.83833333333334,91.25999999999999,89.35166666666666,90.09,89.92,90.63,91.41666666666667,91.77
mnist,0.1,10.0,add_noise,64,88.97666666666667,89.03999999999999,90.83333333333333,91.25,89.335,90.11,89.91666666666667,90.66,91.42333333333333,91.77
mnist,0.1,100.0,add_noise,64,79.93166666666667,80.54,90.82833333333333,91.25,89.345,90.11,89.92999999999999,90.66,91.39833333333334,91.75999999999999
mnist,0.1,200.0,add_noise,64,78.31166666666667,79.31,90.83833333333334,91.28,89.34,90.09,89.935,90.68,91.40333333333334,91.77
mnist,0.1,0.01,add_noise,128,89.95166666666667,90.55,89.94166666666666,90.53,89.42833333333333,90.18,89.49666666666667,90.23,90.77666666666667,91.22
